,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder,Type of Ownership
0,"1200 Sq-ft Residential Plot/Land for Sale in Celebrity Prime Eco Front , Jigani , Bangalore",₹ 19.2 Lac,"Jigani, Bangalore - South, Karnataka",sqft,NaN,NaN,NaN,NaN,"1 Covered, 1 Open",New Property,No/Rare Powercut,"1 Covered, 1 Open",NaN,,Luxury Villas Plots in Gated Community for sale near Electronic City.,₹ 19.2 Lac,Celebrity Prime Eco Front,NaN,NaN,NaN,NaN,Nan,Freehold
1,2 BHK 830 Sq-ft Flat,₹ 45.0 Lac,"Kengeri, Bangalore - West, Karnataka",2 See Dimension,2,NaN,830 sqft,"₹ 5,422/sqft",Under Construction,Apr '22,New Property,Under Construction,6 (Out of 6 Floors),Nan,"Hill Crest is a luxurious and affordable residential apartment project by Sairam Dwellings located next to Vishweshwaraiah Layout 2nd Stage Bangalore OFF NICE ROAD, which is also close proximity to Kengeri Metro Station, Educational institution like Edify School, Chitrakoota School, Hill Rock School, RV Engineering College.","₹ 45.0 Lac ₹ 2,000 Monthly","Vitrified, Granite",NaN,NaN,NaN,NaN,Sairam Dwellings Pvt. Ltd.,Sai Gangothri Hill Crest
2,3 BHK 1809 Sq-ft Flat,₹ 1.54 Cr,"Kadubeesanahalli, Bangalore - East, Karnataka",3,3,NaN,1809 sqft,"₹ 8,513/sqft",Ready to Move,New Property,1 Covered,Ready to Move,Unfurnished,Nan,"A Home Where Everything is a Blessing. A premium gated residential cluster of 232 luxury apartments spread over a pristinely manicured ground, Bhuvi by Amsha offers varying sizes of homes across an elegant high rise 8 blocks of 8 floors each. It's a home that you'll be proud to call yours. Topped with excellent facilities, ample parking space and an expensive clubhouse, Bhuvi is a unique blend of contemporary architecture and Vaastu compliance.
more","₹ 1.54 Cr ₹ 2,000 Monthly","Vitrified, Marble",NaN,NaN,NaN,NaN,Amsha Ventures,Bhuvi By Amsha
3,3 BHK 1556 Sq-ft Flat,₹ 1.06 Cr,"Thambuchetty Palya, Bangalore - East, Karnataka",3,3,NaN,1556 sqft,"₹ 6,812/sqft",Under Construction,Dec '24,New Property,Under Construction,None,2,Sun & Sanctum is a tall stepped architectural delight creating a unique skyline in the otherwise teeming city. The project is spread across 4 acres with 69% open space and a wide range of modern amenities to choose from. Experience elevated living in the heart of it all. Every sqft of the project is designed to allow for individualistic lifestyles while incorporating the essence of a community.,"₹ 1.06 Cr ₹ 3,000 Monthly",24 Hours Available,NaN,NaN,NaN,NaN,Assetz Property Group,Sun and Sanctum
4,3 BHK 1330 Sq-ft Flat,₹ 46.5 Lac,"Electronic City Phase 2, Bangalore - South, Karnataka",3 See Dimension,2,1,1330 sqft,"₹ 3,496/sqft",Under Construction,Aug '20,New Property,Under Construction,3 (Out of 3 Floors),Nan,"Sri Nandana Royal is developed by Sri Nandana Builders with an impeccable Reputation for quality, integrity and on Schedule Delivery. The Apartment is located in Electronic city Phase 2 Easily accessible, to all the Major IT Parks in Electronic city Like Infosys, Wipro, HP, CGS and many more.","₹ 46.5 Lac ₹ 30,000 Yearly",Vitrified,NaN,NaN,NaN,NaN,Sri Nandana Builders,Sri Nandana Royal
5,2 BHK 1070 Sq-ft Flat,₹ 69.7 Lac,"Bellandur, Bangalore - East, Karnataka",2 See Dimension,2,1,1070 sqft,"₹ 6,514/sqft",Under Construction,Mar '24,New Property,Under Construction,1 Covered,Nan,"Luxury takes on a new definition at Nikhar Aventino. Be it Picture-Perfect interiors, aesthetically designed structures, Innovative ideas in space management or the understated elegance of fine finishes, this is where unmatched essentials of good living create an ambience for happiness and fine living.",₹ 69.7 Lac,Vitrified,NaN,NaN,NaN,NaN,Nikhar Estates LLP,Nikhar Aventino
6,3 BHK 1522 Sq-ft Flat,₹ 69.1 Lac,"Kanakapura Road, Bangalore - South, Karnataka",3,2,NaN,1522 sqft,"₹ 4,540/sqft",Under Construction,Mar '22,New Property,Under Construction,None,Nan,Your home in the lap of nature. You will be living close to nature at Maangalya Park Avenue since we have done everything possible to reduce our carbon footprint and create a scenic environment with lush greenery and landscaped surroundings that you will feel proud to call your home.,₹ 69.1 Lac ₹ 3 Per sq. Unit Monthly,Vitrified,NaN,NaN,NaN,NaN,Maangalya Group,Maangalya Park Avenue
7,3 BHK 1360 Sq-ft Flat,₹ 98.5 Lac,"Power Back Up, Lift, Rain Water Harvesting, Club House, Swimming Pool, Gymnasium, Water Storage, Vaastu Compliant, Visitor Parking, Intercom Facility, Waste Disposal, RO Water System, Banquet Hall",3 See Dimensions,2,1,1360 sqft,"₹ 7,243/sqft",Ready to Move,New Property,7 (Out of 15 Floors),Ready to Move,1 Covered,Nan,"The project is located very close to Bommanahalli Junction on Hosur Road, South Bangalore with a choice of 2, 3 BHK apartments.The layout of living and dining area of every apartment is designed differently to a grand and massive feel in the flat. Call us and we will take you for a great experience of your lifetime to the ultimate living space.","₹ 98.5 Lac ₹ 3,500 Yearly",sbi atm,NaN,NaN,NaN,NaN,SNN Builders,SNN Raj Grandeur
8,4 BHK Villa,₹ 4.81 Cr,"Yelahanka, Bangalore - North, Karnataka",4 See Dimension,4,NaN,3184 sqft,"₹ 15,107/sqft",Under Construction,Jun '22,New Property,Under Construction,1 Covered,Nan,"These exceptional homes have been created for people who share our passion for design and quality. A host of innovative features have been introduced to create spaces that are smart and modern, yet warm and inviting.",₹ 4.81 Cr,Vitrified,NaN,NaN,NaN,NaN,Total Environment Building Systems Pvt. Ltd.,After The Rain
9,3 BHK 2526 Sq-ft Flat,₹ 2.57 Cr,"Hebbal, Bangalore - North, Karnataka",3,3,NaN,2526 sqft,"₹ 10,174/sqft",Ready to Move,New Property,1 Covered,Ready to Move,Unfurnished,Nan,"SNN believes in Think BIG.Think ahead and of course we rely on our strong construction team who help us deliver our vision. When taking over SNN Clermont project, we wanted to ensure a larger than life luxury project for all its stakeholders. When we commenced with repositioning the project, we first started with rechristening it. SNN Clermont is the pinnacle of luxury lifestyle and the only luxury apartment in Hebbal, North Bangalore featuring Five Towers of 40 Floors each. The grandeur and enormity of the project inspired its theme; the projects BIG IDEA was derived from the unmatchable beauty of the MUSTANGS. The Mustangs are amongst the finest of the equines. This exquisite equestrian breed is a symbol of luxury, wealth, refinement and above all, power! Ingredients that make SNN Clermont the most prized property in Bangalore.
more",₹ 2.57 Cr,Marble,NaN,NaN,NaN,NaN,SNN Builders,SNN Clermont
